Meses;Feijao_cor;Feijao_Prt;Mandioca;Milho;Soja;Trigo;Cafe;Cana;Boi_GD;Boi_MG;Frango;Suino;Leite;Ovos_Gd;Ovos_Md;IGP_DI
nov/01;41,44;80,14;38,27;10,06;26,63;16,24;1,26;21,27;43,18;480,90;0,90;1,42;0,25;15,33;14,00;213,756
dez/01;39,20;70,39;43,36;10,19;24,86;16,21;1,25;22,45;42,95;470,24;0,93;1,40;0,25;17,24;16,22;214,137
jan/02;44,61;58,67;47,85;10,35;23,61;16,73;1,27;22,53;42,85;493,35;0,93;1,37;0,23;17,88;16,46;214,535
fev/02;43,80;54,45;53,54;10,87;21,26;17,12;1,27;22,50;42,74;470,09;0,97;1,26;0,23;20,22;18,74;214,927
mar/02;45,91;57,38;54,77;11,18;19,71;17,18;1,29;22,25;41,95;468,34;0,97;1,18;0,25;20,13;19,46;215,17
abr/02;50,13;55,28;54,86;11,42;19,98;17,15;1,34;21,98;41,22;458,48;0,94;1,11;0,28;18,19;16,68;216,673
mai/02;49,34;52,70;55,09;12,22;22,31;18,07;1,24;20,51;40,62;454,89;0,93;1,00;0,30;19,05;17,26;219,07
jun/02;52,87;55,90;51,07;12,62;26,00;19,72;1,21;19,04;40,83;442,59;0,94;1,04;0,32;21,77;19,90;222,872
jul/02;65,37;64,14;49,50;12,98;29,33;21,43;1,24;17,96;41,28;460,51;0,94;1,05;0,33;22,32;20,46;227,441
ago/02;65,96;62,73;49,04;13,88;32,47;24,62;1,27;18,60;45,47;499,23;0,97;1,00;0,33;21,45;19,83;232,818
set/02;65,63;61,76;49,39;15,18;36,89;28,61;1,53;19,97;46,76;500,76;1,02;1,06;0,33;20,57;19,19;238,973
out/02;69,19;68,56;55,15;18,62;41,87;36,90;1,93;21,49;48,85;524,33;1,12;1,20;0,32;26,03;24,00;249,042
nov/02;68,08;64,42;89,68;22,28;42,55;32,32;2,15;22,14;53,81;578,00;1,22;1,32;0,33;29,68;27,77;263,58
dez/02;86,38;66,96;103,95;20,83;43,93;28,96;2,33;22,63;53,75;578,05;1,36;1,46;0,35;33,18;31,50;270,692
jan/03;85,90;59,30;115,45;19,76;40,51;28,93;2,28;23,30;53,49;580,77;1,37;1,42;0,37;31,58;30,12;276,578
fev/03;88,88;60,81;140,54;19,95;40,85;29,72;2,48;24,14;53,47;570,82;1,39;1,50;0,37;35,33;33,54;280,984
mar/03;96,66;67,55;161,01;17,68;37,94;30,74;2,34;24,83;53,14;578,72;1,39;1,50;0,38;36,53;35,56;285,64
abr/03;97,03;66,28;173,89;16,83;34,63;30,85;2,30;24,89;52,22;574,16;1,40;1,46;0,40;39,28;37,42;286,815
mai/03;85,16;65,22;182,82;15,37;33,62;28,78;2,26;26,21;50,29;547,14;1,34;1,37;0,41;38,23;36,94;284,9
jun/03;68,57;62,65;170,77;14,65;33,23;28,39;2,19;28,52;50,75;564,22;1,29;1,34;0,43;38,73;36,74;282,913
jul/03;55,94;55,69;169,99;12,92;32,42;26,51;2,15;26,60;53,00;558,88;1,32;1,43;0,42;37,86;35,97;282,349
ago/03;54,68;57,56;204,93;13,02;32,80;25,54;2,34;25,63;54,92;581,04;1,31;1,53;0,43;37,80;37,26;284,105
set/03;58,40;63,47;245,28;14,35;35,57;25,70;2,34;27,39;56,53;606,59;1,37;1,84;0,43;38,74;36,71;287,081
out/03;56,65;59,76;274,54;14,19;41,05;23,95;2,31;28,02;56,77;615,78;1,44;2,01;0,44;34,06;31,88;288,337
nov/03;53,80;57,91;270,80;14,83;43,95;23,69;2,32;26,66;57,73;633,03;1,39;1,90;0,42;30,77;28,97;289,718
dez/03;48,90;53,02;265,34;15,25;42,53;24,04;2,36;26,25;57,37;624,86;1,44;1,83;0,42;30,18;28,21;291,462
jan/04;60,72;52,83;280,32;14,91;42,54;23,74;2,51;26,02;57,26;632,11;1,40;1,78;0,40;30,80;28,92;293,793
fev/04;57,89;49,44;312,55;14,81;42,46;23,79;2,69;25,04;55,96;616,52;1,42;1,76;0,39;36,50;34,49;296,976
mar/04;60,72;54,00;288,13;15,67;48,15;24,31;2,75;24,89;54,30;594,55;1,37;1,89;0,40;39,43;37,65;299,746
